match_id,home_team_id,away_team_id,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,result_home,home_team_att_strength,home_team_def_strength,away_team_att_strength,away_team_def_strength,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_team_rating_last3,home_accurate_pass_last3,home_total_pass_last3,home_blocked_scoring_att_last3,home_ontarget_scoring_att_last3,home_shot_off_target_last3,home_won_corners_last3,home_penalty_save_last3,home_total_tackle_last3,home_fk_foul_lost_last3,home_total_throws_last3,home_possession_percentage_last3,away_team_rating_last3,away_accurate_pass_last3,away_total_pass_last3,away_blocked_scoring_att_last3,away_ontarget_scoring_att_last3,away_shot_off_target_last3,away_won_corners_last3,away_penalty_save_last3,away_total_tackle_last3,away_fk_foul_lost_last3,away_total_throws_last3,away_possession_percentage_last3,home_team_att_strength_last3,home_team_def_strength_last3,away_team_att_strength_last3,away_team_def_strength_last3,home_wins_last3,away_wins_last3,home_draws_last3,away_draws_last3,home_losses_last3,away_losses_last3
829523,24,23,6.767692307692309,197.0,289.0,2.0,1.0,4.0,8.0,0.0,19.0,9.0,35.0,36.9,6.471428571428571,382.0,460.0,3.0,0.0,9.0,3.0,0.0,23.0,8.0,22.0,44.2,0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,6.767692307692309,197.0,289.0,2.0,1.0,4.0,8.0,0.0,19.0,9.0,35.0,36.9,6.471428571428571,382.0,460.0,3.0,0.0,9.0,3.0,0.0,23.0,8.0,22.0,44.2,1.0,1.0,1.0,1.0,0,0,0,0,0,0
829524,15,14,7.13428571428571,551.0,668.0,4.0,3.0,4.0,3.0,0.0,19.0,7.0,29.0,61.4,6.71428571428571,265.0,344.0,3.0,3.0,5.0,3.0,0.0,13.0,16.0,12.0,36.7,0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,7.13428571428571,551.0,668.0,4.0,3.0,4.0,3.0,0.0,19.0,7.0,29.0,61.4,6.71428571428571,265.0,344.0,3.0,3.0,5.0,3.0,0.0,13.0,16.0,12.0,36.7,1.0,1.0,1.0,1.0,0,0,0,0,0,0
829525,162,29,6.628571428571429,127.0,222.0,2.0,2.0,0.0,3.0,0.0,33.0,19.0,18.0,24.0,6.659285714285719,344.0,414.0,4.0,4.0,10.0,8.0,0.0,17.0,12.0,15.0,46.6,0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.628571428571429,127.0,222.0,2.0,2.0,0.0,3.0,0.0,33.0,19.0,18.0,24.0,6.659285714285719,344.0,414.0,4.0,4.0,10.0,8.0,0.0,17.0,12.0,15.0,46.6,1.0,1.0,1.0,1.0,0,0,0,0,0,0
829531,259,184,6.886428571428571,307.0,383.0,1.0,4.0,0.0,0.0,0.0,19.0,20.0,23.0,40.4,6.298571428571429,288.0,413.0,1.0,2.0,6.0,4.0,0.0,12.0,6.0,35.0,38.6,0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,6.886428571428571,307.0,383.0,1.0,4.0,0.0,0.0,0.0,19.0,20.0,23.0,40.4,6.298571428571429,288.0,413.0,1.0,2.0,6.0,4.0,0.0,12.0,6.0,35.0,38.6,1.0,1.0,1.0,1.0,0,0,0,0,0,0
829529,18,175,6.766153846153849,345.0,450.0,2.0,6.0,4.0,6.0,0.0,35.0,11.0,27.0,43.9,6.548571428571429,349.0,439.0,0.0,5.0,5.0,6.0,0.0,18.0,18.0,24.0,57.8,0,1.0,1.0,1.0,1.0,0,0,0,1,1,0,6.766153846153849,345.0,450.0,2.0,6.0,4.0,6.0,0.0,35.0,11.0,27.0,43.9,6.548571428571429,349.0,439.0,0.0,5.0,5.0,6.0,0.0,18.0,18.0,24.0,57.8,1.0,1.0,1.0,1.0,0,0,0,0,0,0
829526,31,13,6.61,509.0,605.0,5.0,3.0,5.0,6.0,0.0,19.0,10.0,17.0,63.3,7.015,640.0,730.0,3.0,6.0,5.0,9.0,0.0,26.0,13.0,21.0,76.0,0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,6.61,509.0,605.0,5.0,3.0,5.0,6.0,0.0,19.0,10.0,17.0,63.3,7.015,640.0,730.0,3.0,6.0,5.0,9.0,0.0,26.0,13.0,21.0,76.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
829532,30,171,6.923571428571429,386.0,482.0,4.0,4.0,2.0,5.0,0.0,19.0,10.0,16.0,53.4,6.715,296.0,383.0,6.0,6.0,7.0,8.0,0.0,14.0,10.0,22.0,51.0,0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,6.923571428571429,386.0,482.0,4.0,4.0,2.0,5.0,0.0,19.0,10.0,16.0,53.4,6.715,296.0,383.0,6.0,6.0,7.0,8.0,0.0,14.0,10.0,22.0,51.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
829527,214,96,7.176428571428571,289.0,382.0,4.0,4.0,3.0,9.0,1.0,17.0,10.0,26.0,49.0,6.79923076923077,432.0,517.0,6.0,2.0,4.0,2.0,0.0,27.0,14.0,36.0,63.1,0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,7.176428571428571,289.0,382.0,4.0,4.0,3.0,9.0,1.0,17.0,10.0,26.0,49.0,6.79923076923077,432.0,517.0,6.0,2.0,4.0,2.0,0.0,27.0,14.0,36.0,63.1,1.0,1.0,1.0,1.0,0,0,0,0,0,0
829530,16,32,6.871428571428571,242.0,323.0,3.0,2.0,2.0,3.0,0.0,29.0,9.0,19.0,42.2,6.707142857142861,482.0,558.0,4.0,5.0,5.0,4.0,0.0,13.0,14.0,29.0,59.6,0,1.0,1.0,1.0,1.0,0,0,1,0,0,1,6.871428571428571,242.0,323.0,3.0,2.0,2.0,3.0,0.0,29.0,9.0,19.0,42.2,6.707142857142861,482.0,558.0,4.0,5.0,5.0,4.0,0.0,13.0,14.0,29.0,59.6,1.0,1.0,1.0,1.0,0,0,0,0,0,0
829528,167,26,7.209285714285719,511.0,593.0,3.0,5.0,5.0,3.0,0.0,29.0,11.0,14.0,55.8,7.28076923076923,514.0,601.0,2.0,5.0,5.0,2.0,0.0,16.0,8.0,22.0,56.1,0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,7.209285714285719,511.0,593.0,3.0,5.0,5.0,3.0,0.0,29.0,11.0,14.0,55.8,7.28076923076923,514.0,601.0,2.0,5.0,5.0,2.0,0.0,16.0,8.0,22.0,56.1,1.0,1.0,1.0,1.0,0,0,0,0,0,0
