,match_id,date_string,home_team_id,away_team_id,half_time_score,full_time_score,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away,result_home
0,1190174,2017-08-11 19:45:00,13,14,2 : 2,4 : 3,7.30714285714286,538,632,8,10,9,9,0,23,9,21,70.0,6.64642857142857,167,263,0,3,3,4,0,17,12,31,30.0,2,2,4,3,1.0
0,1190182,2017-08-12 12:30:00,27,26,2 : 1,3 : 3,6.69142857142857,277,395,1,4,4,3,0,19,14,26,45.6,6.78,352,477,1,5,8,3,0,20,8,27,54.4,2,1,3,3,0.0
0,1190177,2017-08-12 15:00:00,162,166,0 : 2,0 : 3,6.53615384615385,304,391,3,4,7,12,0,24,7,19,56.7,7.23357142857143,199,306,0,6,3,9,0,28,19,30,43.3,0,2,0,3,-1.0
0,1190178,2017-08-12 15:00:00,31,96,1 : 0,1 : 0,6.99357142857143,392,497,2,4,3,6,0,17,13,24,61.6,6.60615384615385,211,292,2,1,6,7,0,18,10,27,38.4,1,0,1,0,1.0
0,1190176,2017-08-12 15:00:00,15,184,0 : 3,2 : 3,6.39642857142857,446,521,7,6,6,8,0,10,16,13,61.9,7.05230769230769,241,320,1,5,4,5,0,8,11,7,38.1,0,3,2,3,-1.0
0,1190181,2017-08-12 15:00:00,18,259,0 : 0,0 : 0,6.83357142857143,432,518,11,2,16,13,0,12,10,26,59.6,6.66857142857143,284,365,2,0,2,0,0,11,13,15,40.4,0,0,0,0,0.0
0,1190183,2017-08-12 15:00:00,175,183,1 : 0,1 : 0,7.02857142857143,157,242,1,6,9,8,0,19,15,30,28.7,6.50357142857143,527,612,5,2,2,2,0,16,3,14,71.3,1,0,1,0,1.0
0,1190175,2017-08-12 17:30:00,211,167,0 : 0,0 : 2,6.30857142857143,130,213,2,2,2,3,0,10,6,18,21.8,6.90285714285714,691,768,5,4,5,10,0,10,9,17,78.2,0,0,0,2,-1.0
0,1190180,2017-08-13 13:30:00,23,30,0 : 0,0 : 2,6.28142857142857,157,245,0,2,4,5,0,12,6,26,26.9,7.21785714285714,628,702,7,6,5,7,0,16,10,26,73.1,0,0,0,2,-1.0
0,1190179,2017-08-13 16:00:00,32,29,1 : 0,4 : 0,7.67785714285714,417,493,8,5,8,11,0,14,19,21,55.4,6.07785714285714,316,397,2,1,6,1,0,21,7,13,44.6,1,0,4,0,1.0
0,1190206,2017-08-19 12:30:00,259,32,0 : 1,0 : 4,6.05571428571429,315,406,0,0,5,3,0,21,12,23,41.0,7.535,523,601,3,8,6,5,0,16,11,13,59.0,0,1,0,4,-1.0
0,1190459,2017-08-19 15:00:00,18,29,2 : 1,3 : 2,6.75714285714286,487,569,3,5,6,7,0,10,18,16,66.1,6.58714285714286,192,287,2,8,6,2,0,12,10,13,33.9,2,1,3,2,1.0
0,1190187,2017-08-19 15:00:00,14,211,1 : 0,2 : 0,7.07538461538462,332,427,6,4,4,6,0,11,8,17,45.2,6.18769230769231,435,526,3,2,0,2,0,11,10,22,54.8,1,0,2,0,1.0
0,1190188,2017-08-19 15:00:00,26,162,0 : 0,1 : 0,7.10428571428572,603,712,5,13,5,4,0,24,12,23,72.4,6.67428571428571,181,273,1,1,2,2,0,21,13,20,27.6,0,0,1,0,1.0
0,1190184,2017-08-19 15:00:00,183,27,0 : 0,0 : 2,6.33071428571429,338,438,3,2,1,8,0,11,6,21,55.8,7.20714285714286,265,338,5,7,7,5,0,20,14,26,44.2,0,0,0,2,-1.0
0,1190185,2017-08-19 15:00:00,184,175,0 : 0,0 : 1,6.46846153846154,374,471,5,0,15,6,0,9,11,22,67.8,6.74923076923077,127,228,2,1,5,5,0,9,11,29,32.2,0,0,0,1,-1.0
0,1190190,2017-08-19 17:30:00,96,13,0 : 0,1 : 0,7.07714285714286,137,213,2,4,5,2,0,19,6,13,22.9,6.60785714285714,639,731,6,6,6,9,0,15,11,21,77.1,0,0,1,0,1.0
0,1190186,2017-08-20 13:30:00,166,23,0 : 0,1 : 0,7.05071428571429,353,456,1,3,3,7,0,24,13,23,52.7,6.42142857142857,296,415,5,5,3,3,0,18,10,29,47.3,0,0,1,0,1.0
0,1190209,2017-08-20 16:00:00,30,15,0 : 1,1 : 2,6.41642857142857,501,592,6,6,6,14,0,14,14,25,67.7,7.05307692307692,195,280,3,2,4,4,0,31,21,8,32.3,0,1,1,2,-1.0
0,1190189,2017-08-21 20:00:00,167,31,0 : 1,1 : 1,6.53642857142857,461,560,4,6,9,7,0,12,7,29,65.4,6.50357142857143,198,301,0,2,5,1,0,19,9,31,34.6,0,1,1,1,0.0
